state,specialty,ndb_spec,credentialing_required
AL,Attendant Care Agency/In Home Supportive Care,,No
AL,Audiology/Hearing Center - DIAGNOSTIC,,No
AL,Audiology/Hearing Center - SURGICAL,,No
AL,Autism ABA Agency/Clinic,,No
AL,Birthing Clinic,,Yes (TRICARE Only)
AL,Blood Bank,,No
AL,Cardiac Diagnostic Center,,No
AL,Cardiac Rehab Center/Clinic,,No
AL,Family Planning Clinic,,No
AL,Community Based Hospice,,Yes
AL,Community/Public Health Clinic,,No
AL,Convenience Care Clinic,,No
AL,Diabetes Education Center,,Yes
AL,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
AL,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
AL,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
AL,Dialysis Center,,Yes
AL,Durable Medical Equipment (Medical Supply Company),,No
AL,Durable Medical Equipment Orthotics/Prosthetics,,No
AL,Environmental Adaptation Company (HCBS),,No
AL,Federally Qualified Health Center (FQHC),,Yes
AL,Freestanding Emergency Dept,,No
AL,Habilitation Agency (HCBS),,No
AL,Hemophiliac Treatment Center- PHARMACY ONLY,,No
AL,Home Delivered Meals Agency (HCBS),,No
AL,Home Health Care Agency/PACE Provider Agency,,Yes
AL,Home Health/Home Infusion (Combined),,Yes
AL,Homemaker Agency (HCBS),,No
AL,Hyperbaric Oxygen Chamber,,No
AL,Infertility Center,,No
AL,Infirmary,,No
AL,Infusion Therapy - Home & Clinic,,No
AL,Laboratory Center (Independent or Commercial),,Yes
AL,Lithotripsy Centers,,No
AL,Magnetic Resonance Imaging Center/Clinic,,No
AL,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
AL,Non -Emergent Transportation,,No
AL,Personal Care,,No
AL,Pediatric Medical Day Care (HCBS),,No
AL,Pharmacy,,No
AL,Portable Diag Img Supplier,,Yes
AL,Radiation Oncology Center,,No
AL,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
AL,Rural Health Clinic (RHC),,Yes
AL,Sleep Study Center,,No
AL,Surgery Suite/Center,,No
AL,Transition Service Agency (HCBS),,No
AL,Urgent Care Center/Clinic,,No (Yes for AZ Only)
AL,Veteran's Administration Medical Clinic (VAMC),,No
AL,Wellness Service Provider,,No
AL,X-Ray/Radiology Center,,No
AL,Addiction Medicine,347,No2
AL,Addiction Psychiatry,301,No2
AL,Adolescent Medicine,276,Yes
AL,Allergy,252,Yes (as Allergy and Immunology)
AL,Allergy and Immunology,3,Yes
AL,Anatomic & Clinical Pathology,203,No1 (Except MO)
AL,Anatomic Pathology,202,No1 (Except MO)
AL,Anesthesiology,5,No1 (Except MO)
AL,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
AL,Blood Banking/Transfusion Medicine,334,No
AL,Bone Marrow Transplant,366,Yes
AL,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
AL,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
AL,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
AL,Cardiology,12,Yes (as Cardiovascular Disease)
AL,Cardiovascular Disease,6,Yes
AL,Cardiovascular Surgery,500,Yes
AL,Chemical Pathology,207,No1 (Except MO)
AL,Chest and Respiratory Therapy,75,Yes
AL,Child & Adolescent Psychiatry,257,No2
AL,Child Neurology,208,Yes
AL,Child Psychology,268,No2
AL,Clinical Biochemical Genetics,305,Yes
AL,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
AL,Clinical Cardiac Electrophysiology,304,Yes
AL,Clinical Cytogenetics,307,Yes
AL,Clinical Genetics,308,Yes
AL,Clinical Molecular Genetics,370,Yes
AL,Clinical Neurophysiology,310,Yes
AL,Clinical Pathology,210,No1 (Except MO)
AL,Clinical Pharmacology,211,No
AL,Colon and Rectal Surgery,15,Yes
AL,Counselor - MH/SA/School,377,No2
AL,Crisis Diversion,378,No2
AL,Critical Care Medicine,214,Yes
AL,Cytopathology,312,No1 (Except MO)
AL,Dermatology,7,Yes
AL,Dermatopathology,218,Yes
AL,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
AL,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
AL,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
AL,Diagnostic Radiology,220,No1 (Except MO)
AL,Digestive Diseases,509,Yes (as Gastroenterology)
AL,Early Intervention,122,Yes (as Preventative Medicine)
AL,Emergency Medicine,42,No1 (Except MO)
AL,"Endocrinology, Diabetes and Metabolism",17,Yes
AL,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
AL,Family Practice,8,Yes
AL,Family Practice Specialist,275,Yes (as Family Practice)
AL,Forensic Pathology,223,No1 (Except MO)
AL,Forensic Psychiatry,346,No2
AL,Gastroenterology,10,Yes
AL,General Practice,1,Yes
AL,General Practice Specialist,272,Yes (as General Practice)
AL,General Vascular Surgery,95,Yes
AL,Geriatric Medicine,38,Yes
AL,Geriatric Psychiatry,314,No2
AL,Gynecologic Oncology,221,Yes
AL,Gynecology,251,Yes (as Obstetrics And Gynecology)
AL,Hand Surgery,40,Yes
AL,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
AL,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
AL,Hematology,93,Yes
AL,Hematology/Oncology,504,Yes
AL,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
AL,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
AL,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
AL,Hospice & Palliative Medicine,19,Yes
AL,Hospitalist,340,No1 (Except MO)
AL,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
AL,Immunology,283,Yes (as Allergy and Immunology)
AL,Immunopathology,225,No1 (Except MO)
AL,Independent Medical Examiner,97,No
AL,Infectious Disease Medicine,80,Yes
AL,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
AL,Internal Medicine,11,Yes
AL,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
AL,Internal Medicine Specialist,273,Yes (as Internal Medicine)
AL,Interventional Cardiology,342,Yes
AL,Interventional Radiology,124,Yes
AL,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
AL,Laryngology,284,Yes (as Otolaryngology)
AL,Legal Medicine,285,No
AL,Licensed Professional Counselor,381,No2
AL,Marriage & Family Therapy,318,No2
AL,Medical Genetics,309,Yes
AL,Medical Microbiology,227,No
AL,Medical Oncology,59,Yes
AL,Medical Toxicology,333,No
AL,MOHS Surgery,357,Yes
AL,Molecular Genetic Pathology,371,No1 (Except MO)
AL,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
AL,MRI/Magnetic Resonance,511,No1 (Except MO)
AL,Neonatology,87,No1 (Except MO)
AL,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
AL,Nephrology,39,Yes
AL,Neurodevelopmental Disabilities,343,Yes
AL,Neurological Surgery,14,Yes
AL,Neurology,13,Yes
AL,Neurology & Psychiatry,228,No2
AL,Neuromuscular Disease,269,Yes
AL,Neuropathology,229,No1 (Except MO)
AL,Neuroradiology,332,No1 (Except MO)
AL,Nuclear Cardiology,16,Yes
AL,Nuclear Medicine,36,No1 (Except MO)
AL,Nuclear Radiology,286,No1 (Except MO)
AL,Obstetrics,250,Yes (as Obstetrics And Gynecology)
AL,Obstetrics And Gynecology,230,Yes
AL,Occupational Medicine,231,Yes
AL,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
AL,Ophthalmology,18,Yes
AL,Ophthalmology Cornea Surgery,355,Yes
AL,Ophthalmology Retina Surgery,354,Yes
AL,Oral and Maxillofacial Surgery,92,Yes
AL,Oral Pathology,232,Yes
AL,Orofacial Plastic Surgery,233,Yes
AL,Orthopedic Surgery,20,Yes
AL,Osteopathic Manipulative Medicine,330,Yes
AL,Otolaryngology (ENT),4,Yes
AL,Otology,254,Yes (as Otolaryngology)
AL,Pain Management,319,Yes
AL,Pastoral Counselor,388,No
AL,Pathology,22,No1 (Except MO)
AL,Pediatric Allergy Immunology,86,Yes
AL,Pediatric Anesthesiology,116,No1 (Except MO)
AL,Pediatric Behavioral,363,No2
AL,Pediatric Cardiology,85,Yes
AL,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
AL,Pediatric Child Abuse,258,Yes
AL,Pediatric Critical Care Medicine,234,Yes
AL,Pediatric Dermatology,117,Yes
AL,Pediatric Developmental & Behavioral,255,Yes
AL,Pediatric Emergency Medicine,321,Yes
AL,Pediatric Endocrinology,82,Yes
AL,Pediatric Gastroenterology,259,Yes
AL,Pediatric Genetics,260,Yes
AL,Pediatric Hematology Oncology,88,Yes
AL,Pediatric Infectious Disease Medicine,78,Yes
AL,Pediatric Nephrology,31,Yes
AL,Pediatric Neurology,262,Yes
AL,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
AL,Pediatric Ophthalmology,263,Yes
AL,Pediatric Orthopedic Surgery,264,Yes
AL,Pediatric Otolaryngology (ENT),265,Yes
AL,Pediatric Pathology,322,No1 (Except MO)
AL,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
AL,Pediatric Pulmonary Medicine,96,Yes
AL,Pediatric Radiology,288,No1 (Except MO)
AL,Pediatric Rehabilitation Medicine,341,Yes
AL,Pediatric Rheumatology,261,Yes
AL,Pediatric Specialist,274,Yes (as Pediatrics)
AL,Pediatric Speech Pathologist,115,No2
AL,Pediatric Sports Medicine,323,Yes
AL,Pediatric Surgery,114,Yes
AL,Pediatric Urology,267,Yes
AL,Pediatrics,37,Yes
AL,Perinatology (Maternal & Fetal Medicine),226,Yes
AL,Phlebology,396,Yes
AL,Physical Medicine and Rehabilitation / Physiatry,25,Yes
AL,Physician Nutrition Specialist,103,Yes
AL,Plastic Surgery,24,Yes
AL,Plastic Surgery within the Head & Neck,337,Yes
AL,Preventative Medicine Aerospace,41,Yes
AL,Preventive Medicine,281,Yes
AL,Proctology,28,Yes
AL,Psychiatric Nurse Specialist/Practitioner,329,No2
AL,Psychiatric Social Work,9,No2
AL,Psychiatry,26,No2
AL,"Psychology, Clinical (Doctorate Level)",70,No2
AL,Psychosomatic Medicine,291,No2
AL,Public Health,238,Yes
AL,Public Health & General Preventive Medicine,236,Yes
AL,Pulmonary Medicine,29,Yes
AL,Radiation Oncology,32,Yes
AL,Radioisotopic Pathology,240,No1 (Except MO)
AL,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
AL,Radiological Physics,324,Yes (as Radiation Oncology)
AL,Radiology,30,No1 (Except MO)
AL,Rehabilitative Medicine,253,Yes
AL,Reproductive Endocrinology,241,Yes
AL,Rheumatology,90,Yes
AL,Rhinology,292,Yes (as Otolaryngology)
AL,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
AL,Sleep Study Medicine,361,Yes
AL,"Social Worker, Licensed Clinical/Medical",63,No2
AL,Spinal Cord Injury Medicine,344,Yes
AL,Sports Medicine,296,Yes
AL,Surgery,2,Yes
AL,Surgical Critical Care,242,Yes
AL,Surgical Oncologist,508,Yes
AL,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
AL,Thoracic Cardiovascular Surgery,33,Yes
AL,Thoracic Surgery,101,Yes
AL,Traumatic Surgery,293,Yes
AL,Undersea and Hyperbaric Medicine,327,Yes
AL,Undersea Medicine,372,Yes
AL,Urgent Care Medicine,328,No1 (Except MO)
AL,Urology,34,Yes
AL,Vascular Intervention Radiology,335,No1 (Except MO)
AK,Acupuncture,201,No2
AK,Addiction Medicine Specialist,331,No2
AK,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
AK,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
AK,Athletic Trainer,121,No
AK,Audiology,205,Yes
AK,Behavioral Analyst,300,No2
AK,Certified Diabetic Educator,27,Yes
AK,Certified Nurse Midwife,69,Yes
AK,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
AK,Child Psychology,268,No2
AK,Chiropractic Medicine,35,No2
AK,Christian Science Practitioner,376,No
AK,Counselor - MH/SA/School,377,No2
AK,Dentist,50,No2
AK,"Dentist, Oral Surgeon",92,Yes
AK,Employee Assistance Program (EAP) Counselor,379,No
AK,Empowerment Coach,118,No
AK,Endodontics,51,No2
AK,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
AK,Genetic Counselor,320,No
AK,Hearing Instrument Specialist,298,No
AK,Home Health  / Private Duty Nurse,243,No
AK,Home Health Aide,67,No
AK,Homemaker,21,No
AK,Homeopathic Medicine,282,No
AK,Lactation Specialist,380,No
AK,Licensed Professional Counselor,381,No2
AK,Licensed Vocational Nurse,382,No
AK,Marriage & Family Therapy,318,No2
AK,Massage Therapy,514,No
AK,Master of Social Work,391,No2
AK,"Naturopathy, Doctor of",384,Yes
AK,Neuropsychology,397,No2
AK,Non-Indep Licensed MH Provider,244,No
AK,Nurse Practitioner,77,Yes
AK,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
AK,"Nurse, Clinical Specialist in Mental Health",385,No2
AK,"Nurse, Licensed Practical",65,No
AK,"Nurse, Registered",64,No
AK,"Nurse, Registered, First Assistant (RNFA)",386,No
AK,Nutritionist (Registered Dietician),89,Yes
AK,Occupational Therapy,61,No2
AK,Optician,109,No
AK,Optometry,76,No2
AK,Orthodontics,52,No2
AK,Pastoral Counselor,388,No
AK,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
AK,Pediatric Nutrition,120,Yes (as Registered Dietician)
AK,Pediatric Occupational Therapy,119,No2
AK,Pedodontics,53,No2
AK,Peridontics,54,No2
AK,Pharmacist,212,No
AK,Physical Therapy,73,No2
AK,Physical Therapy - Hand,368,No2
AK,Physical Therapy - Hand Splinting,369,No2
AK,Physical Therapy - Pediatric,367,No2
AK,Physician Assistant,338,Yes
AK,Podiatry,48,Yes
AK,Prosthodontics,55,No2
AK,Psychiatric Nurse Specialist/Practitioner,329,No2
AK,"Psychology, Clinical (Doctorate Level)",70,No2
AK,"Psychology, Clinical (Masters Level)",70,No2
AK,Registered Nurse Anesthetist,395,No1 (Except MO)
AK,Social Worker (Registered Social Worker),390,No2
AK,"Social Worker, Licensed Clinical/Medical",63,No2
AK,"Social Worker, Marriage & Family",392,No2
AK,Speech Pathology,246,No2
AK,Speech Therapy,74,No2
AK,"Substance Abuse Services, Alcohol & Drug",507,No
AK,Surgical Technician,393,No
AK,Unknown Physician/Doctor of Education,99,No
AK,Visiting Nurse,394,No
AK,Certified Asthma Educator,43,No
AK,Assisted Care Living Facility - Center  (HCBS,,No
AK,Assisted Care Living Facility - Home  (HCBS,,No
AK,Critical Access Hospital,,Yes (as General Acute Hospital)
AK,General Acute Care Hospital,,Yes
AK,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
AK,Hospital Unit - Psychiatry,,No2
AK,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
AK,Indian Health Service Hospital,,No
AK,In-Patient Hospice,,Yes
AK,Physical Disability / Rehabilitation Facility,,Yes
AK,Long Term Acute Care Facility (LTAC),,Yes
AK,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
AK,Military Hospital,,No
AK,Military Treatment Facility / TRICARE USE ONLY,,No
AK,Non Medical In-Patient Facility,,No
AK,Osteopathic Hospital,,Yes
AK,Pediatric Hospital,,Yes
AK,Psychiatric Hospital,,No2
AK,Religious Nonmedical Health Care Institution,,No
AK,"Residential Treatment Facility (Facility, Community/MHDD)",,No
AK,Respite Care Facility,,No
AK,Alcohol/Chemical Dependency Treatment Center,,No
AK,School / Custodial /Developmental Center,,No
AK,Skilled Nursing  Facility (Convalescent Facility),,Yes
AK,Veteran's Administration or other Gov'tal Facility,,No
AK,Pest Control Company (HCBS),,No
AK,Adult Day Care/Social Day Care,,No
AK,Adult Day Health Care,,No
AK,Adult Foster Care (HCBS),,No
AK,Alcohol Treatment Center/Clinic,,No
AK,Ambulance - Freestanding,,No
AK,Ambulance - Hospital Based,,No
AK,Ambulatory Surgery Center/ASC,,Yes
AK,Assitive Technology Supplier  (HCBS),,No
AK,Attendant Care Agency/In Home Supportive Care,,No
AK,Audiology/Hearing Center - DIAGNOSTIC,,No
AK,Audiology/Hearing Center - SURGICAL,,No
AK,Autism ABA Agency/Clinic,,No
AK,Birthing Clinic,,Yes (TRICARE Only)
AK,Blood Bank,,No
AK,Cardiac Diagnostic Center,,No
AK,Cardiac Rehab Center/Clinic,,No
AK,Family Planning Clinic,,No
AK,Community Based Hospice,,Yes
AK,Community/Public Health Clinic,,No
AK,Convenience Care Clinic,,No
AK,Diabetes Education Center,,Yes
AK,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
AK,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
AK,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
AK,Dialysis Center,,Yes
AK,Durable Medical Equipment (Medical Supply Company),,No
AK,Durable Medical Equipment Orthotics/Prosthetics,,No
AK,Environmental Adaptation Company (HCBS),,No
AK,Federally Qualified Health Center (FQHC),,Yes
AK,Freestanding Emergency Dept,,No
AK,Habilitation Agency (HCBS),,No
AK,Hemophiliac Treatment Center- PHARMACY ONLY,,No
AK,Home Delivered Meals Agency (HCBS),,No
AK,Home Health Care Agency/PACE Provider Agency,,Yes
AK,Home Health/Home Infusion (Combined),,Yes
AK,Homemaker Agency (HCBS),,No
AK,Hyperbaric Oxygen Chamber,,No
AK,Infertility Center,,No
AK,Infirmary,,No
AK,Infusion Therapy - Home & Clinic,,No
AK,Laboratory Center (Independent or Commercial),,Yes
AK,Lithotripsy Centers,,No
AK,Magnetic Resonance Imaging Center/Clinic,,No
AK,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
AK,Non -Emergent Transportation,,No
AK,Personal Care,,No
AK,Pediatric Medical Day Care (HCBS),,No
AK,Pharmacy,,No
AK,Portable Diag Img Supplier,,Yes
AK,Radiation Oncology Center,,No
AK,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
AK,Rural Health Clinic (RHC),,Yes
AK,Sleep Study Center,,No
AK,Surgery Suite/Center,,No
AK,Transition Service Agency (HCBS),,No
AK,Urgent Care Center/Clinic,,No (Yes for AZ Only)
AK,Veteran's Administration Medical Clinic (VAMC),,No
AK,Wellness Service Provider,,No
AK,X-Ray/Radiology Center,,No
AK,Abdominal Surgery,270,Yes (as Surgery)
AK,Addiction Medicine,347,No2
AK,Addiction Psychiatry,301,No2
AK,Adolescent Medicine,276,Yes
AK,Allergy,252,Yes (as Allergy and Immunology)
AK,Allergy and Immunology,3,Yes
AK,Anatomic & Clinical Pathology,203,No1 (Except MO)
AK,Anatomic Pathology,202,No1 (Except MO)
AK,Anesthesiology,5,No1 (Except MO)
AK,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopaedic Surgery)
AK,Blood Banking/Transfusion Medicine,334,No
AK,Bone Marrow Transplant,366,Yes
AK,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
AK,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
AK,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
AK,Cardiology,12,Yes (as Cardiovascular Disease)
AK,Cardiovascular Disease,6,Yes
AK,Cardiovascular Surgery,500,Yes
AK,Chemical Pathology,207,No1 (Except MO)
AK,Chest and Respiratory Therapy,75,Yes
AK,Child & Adolescent Psychiatry,257,No2
AK,Child Neurology,208,Yes
AK,Child Psychology,268,No2
AK,Clinical Biochemical Genetics,305,Yes
AK,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
AK,Clinical Cardiac Electrophysiology,304,Yes
AK,Clinical Cytogenetics,307,Yes
AK,Clinical Genetics,308,Yes
AK,Clinical Molecular Genetics,370,Yes
AK,Clinical Neurophysiology,310,Yes
AK,Clinical Pathology,210,No1 (Except MO)
AK,Clinical Pharmacology,211,No
AK,Colon and Rectal Surgery,15,Yes
AK,Counselor - MH/SA/School,377,No2
AK,Crisis Diversion,378,No2
AK,Critical Care Medicine,214,Yes
AK,Cytopathology,312,No1 (Except MO)
AK,Dermatology,7,Yes
AK,Dermatopathology,218,Yes
AK,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
AK,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
AK,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
AK,Diagnostic Radiology,220,No1 (Except MO)
AK,Digestive Diseases,509,Yes (as Gastroenterology)
AK,Early Intervention,122,Yes (as Preventative Medicine)
AK,Emergency Medicine,42,No1 (Except MO)
AK,"Endocrinology, Diabetes and Metabolism",17,Yes
AK,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
AK,Family Practice,8,Yes
AK,Family Practice Specialist,275,Yes (as Family Practice)
AK,Forensic Pathology,223,No1 (Except MO)
AK,Forensic Psychiatry,346,No2
AK,Gastroenterology,10,Yes
AK,General Practice,1,Yes
AK,General Practice Specialist,272,Yes (as General Practice)
AK,General Vascular Surgery,95,Yes
AK,Geriatric Medicine,38,Yes
AK,Geriatric Psychiatry,314,No2
AK,Gynecologic Oncology,221,Yes
AK,Gynecology,251,Yes (as Obstetrics And Gynecology)
AK,Hand Surgery,40,Yes
AK,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
AK,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
AK,Hematology,93,Yes
AK,Hematology/Oncology,504,Yes
AK,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
AK,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
AK,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
AK,Hospice & Palliative Medicine,19,Yes
AK,Hospitalist,340,No1 (Except MO)
AK,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
AK,Immunology,283,Yes (as Allergy and Immunology)
AK,Immunopathology,225,No1 (Except MO)
AK,Independent Medical Examiner,97,No
AK,Infectious Disease Medicine,80,Yes
AK,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
AK,Internal Medicine,11,Yes
AK,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
AK,Internal Medicine Specialist,273,Yes (as Internal Medicine)
AK,Interventional Cardiology,342,Yes
AK,Interventional Radiology,124,Yes
AK,Knee Surgery,349,Yes (as Orthopaedic Surgery or Surgery)
AK,Laryngology,284,Yes (as Otolaryngology)
AK,Legal Medicine,285,No
AK,Licensed Professional Counselor,381,No2
AK,Marriage & Family Therapy,318,No2
AK,Medical Genetics,309,Yes
AK,Medical Microbiology,227,No
AK,Medical Oncology,59,Yes
AK,Medical Toxicology,333,No
