specialty_name_in_sot,specialty_name_in_taxonomy_grid,degree
Electrophysiologist,ELECTROPHYSIOLOGY,MD/DO
Physical Medicine,PHYSICAL MEDICINE AND REHABILITATION,MD/DO
Orthopaedics,ORTHOPEDIC SURGERY,MD/DO
General Pediatrics,PEDIATRICS,MD/DO
Critical Care and Surgery,SURGICAL CRITICAL CARE,MD/DO
Cardiovascular Medicine,CARDIOVASCULAR DISEASE,MD/DO
Cardiothoracic Surgery,THORACIC CARDIOVASCULAR SURGERY,MD/DO
Surgical Assistant,CERTIFIED SURGICAL ASSISTANT,MD/DO
ATHLETIC TRAINING,ATHLETIC TRAINER,MD/DO
CHIROPRACTIC,CHIROPRACTIC MEDICINE,MD/DO
DIABETES MANAGEMENT,DIABETES,MD/DO
MATERNAL & FETAL MEDICINE,MATERNAL & FETAL MED/PERINATOLOGY,MD/DO
PEDIATRIC HEMATOLOGY AND ONCOLOGY,PEDIATRIC HEMATOLOGY ONCOLOGY,MD/DO
BOARD CERTIFIED BEHAVIOR ANALYST,BEHAVIORAL ANALYST - AUTISM,MD/DO
CERTIFIED REGISTERED NURSE ANESTHETIST,REGISTERED NURSE ANESTHETIST,MD/DO
PULMONARY/CRITICAL CARE,PULMONARY MEDICINE,MD/DO
Advanced Registe red Nurse Practitioner,ADVANCED REGISTERED NURSE PRACTITIONER,MD/DO
VASCULAR MEDICINE,GENERAL VASCULAR SURGERY,MD/DO
PSYCHOLOGY,CLINICAL PSYCHOLOGY,MD/DO
ADULT- GERONTOLOGY PRIMARY CARE NURSE PRACTITIONER,NURSE PRACTITIONER,MD/DO
DIALYSIS,DIALYSIS CENTER,MD/DO
NURSE PRACTITIONER ADULT GERONTOLOGY PRIMARY CARE,NURSE PRACTITIONER,MD/DO
NURSE PRACTITIONER - WOMEN'S HEALTH,NURSE PRACTITIONER,MD/DO
NEONATAL NURSE PRACTITIONER,NURSE PRACTITIONER,MD/DO
ORTHOPAEDIC TRAUMA,ORTHOPEDIC SURGERY,MD/DO
NURSE PRACTITIONER -ADULT PSYCH AND MENTAL HEALTH,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",MD/DO
SURGICAL ONCOLOGY,MEDICAL ONCOLOGY,MD/DO
PHYSICAL MEDICINE & REHABILITATION,PHYSICAL MEDICINE AND REHABILITATION,MD/DO
Anatomic Pathology & Clinical Pathology,ANATOMIC & CLINICAL PATHOLOGY,MD/DO
Physical Medicine & Rehabilitation,PHYSICAL MEDICINE AND REHABILITATION,MD/DO
Plastic and Reconstructive Surgery,PLASTIC SURGERY,MD/DO
Preventive Medicine/Occupational Environmental Medicine,PREVENTIVE MEDICINE,MD/DO
Maternal & Fetal Medicine,MATERNAL & FETAL MED/PERINATOLOGY,MD/DO
Obstetrics & Gynecology,OBSTETRICS AND GYNECOLOGY,MD/DO
Surgical Technologist,SURGICAL TECHNICIAN,MD/DO
Vascular & Interventional Radiology,VASCULAR INTERVENTION RADIOLOGY,MD/DO
Psychiatry / Psychiatry,PSYCHIATRY,MD/DO
Radiology / Radiology,RADIOLOGY,MD/DO
CT Surgery / CT Surgery,THORACIC CARDIOVASCULAR SURGERY,MD/DO
Anesthesiology / Anesthesiolog,ANESTHESIOLOGY,MD/DO
Certified Nurse Anesthetist,NURSE ANESTHETIST,MD/DO
Oral Maxillofacial Surgery,ORAL AND MAXILLOFACIAL SURGERY,MD/DO
Urgent Care,URGENT CARE MEDICINE,MD/DO
Pediatric Gynecology,GYNECOLOGY,MD/DO
Pulmonology,PULMONARY MEDICINE,MD/DO
Pediatric Critical Care Med.,PEDIATRIC CRITICAL CARE MEDICINE,MD/DO
Obstretics & Gynecology,OBSTETRICS AND GYNECOLOGY,MD/DO
PEDIATRIC HOSPITAL,PEDIATRIC HOSPITAL OP,MD/DO
Nurse Practitioner,NURSE PRACTITIONER,NP
Nurse Practitioner,Family Nurse Practitioner,FNP
Family Nurse Practitioner,Nurse Practitioner,NP
Family Nurse Practitioner,Family Nurse Practitioner,FNP
Surgery,SURGERY,MD/DO
Pediatric Surgery,Pediatric Surgery,MD/DO
Pediatrics,Pediatrics,NP
Critical Care Medicine,Critical Care Medicine,NP
