lastname,taxid,mpin,provstatus,provtype,orgtypecd,state
9TH STRATEGIC HOSP/SGAM                 ,941456576,410442,N,O,1,CA
A G HOLLEY STATE HOSPITAL               ,593502843,944352,N,O,1,FL
A G HOLLEY STATE HOSPITAL               ,596001874,944352,N,O,1,FL
A O FOX MEMORIAL HOSPITAL               ,150539039,227894,P,O,1,NY
AARON I JENG MD                         ,455632037,5988116,N,O,1,CA
ABBEVILLE AREA MEDICAL CENTER           ,576000003,266376,P,O,1,SC
ABBEVILLE GENERAL HOSPITAL              ,720574846,674563,P,O,1,LA
ABBEY OF LEMARS                         ,421144011,2923132,N,O,1,IA
ABBOTT NORTHWESTERN HOSPITAL            ,363261413,637718,P,O,1,MN
ABBOTT NW HOSPITAL TRANSPLANT           ,363261413,2355928,P,O,1,MN
ABERDEEN HOSPITAL                       ,0,525860,N,O,1,NS
ABERDEEN MONROE CO HOSPITAL             ,640409983,1814296,N,O,1,MS
ABERNETHY MEMORIAL HOSPITAL             ,636004636,102914,N,O,1,AL
ABILENE REGIONAL MEDICAL CENTER         ,460496933,478130,P,O,1,TX
ABINGTON HEALTH - LANSDALE HOSPITAL     ,263359979,1924078,P,O,1,PA
ABINGTON MEMORIAL HOSPITAL              ,231352152,371244,P,O,1,PA
ABRAHAM LINCOLN MEMORIAL HOSP           ,370723793,498268,P,O,1,IL
ABRAZO ARIZONA HEART HOSPITAL           ,621809851,1796549,P,O,1,CA
ABRAZO ARIZONA HEART HOSPITAL           ,621811285,1796549,P,O,1,CA
ABRAZO ARIZONA HEART HOSPITAL           ,562014196,1796549,P,O,1,TX
ABRAZO ARROWHEAD CAMPUS                 ,621811285,358962,P,O,1,CA
ABRAZO CENTRAL CAMPUS                   ,621809851,41406,P,O,1,CA
ABRAZO MARYVALE CAMPUS                  ,621730519,626134,P,O,1,CA
ABRAZO SCOTTSDALE CAMPUS                ,621861138,642460,P,O,1,CA
ABRAZO WEST CAMPUS                      ,621867232,2314841,P,O,1,CA
ABROM KAPLAN MEMORIAL HOSPITAL          ,726014624,420130,P,O,1,LA
ACACIA MENTAL HEALTH                    ,264068639,1981269,N,O,1,WI
ACADEMY AT CANYON CREEK                 ,205209159,2724505,P,O,1,UT
ACADIA GENERAL HOSPITAL                 ,720417281,566348,P,O,1,LA
ACADIA GENERAL HOSPITAL                 ,464958152,566348,P,O,1,LA
ACADIA ST LANDRY HOSPITAL               ,720643190,465992,P,O,1,LA
ACADIA VERMILION HOSPITAL               ,752986598,2266357,N,O,1,LA
ACADIAN MED A CAMPUS OF MERCY REG MED   ,621868757,263757,P,O,1,LA
ACADIANA ADDICTION CENTER               ,264178782,2414553,P,O,1,LA
ACADIANA ADDICTION CENTER               ,562372166,2414553,P,O,1,LA
ACCESS ADVANTAGE                        ,208285914,5830039,N,O,1,OH
ACCI PITTSBURGH SPEC HOSPITAL           ,251839980,1562568,N,O,1,PA
ACUITY SPECIALIZED CARE                 ,264770769,3155706,N,O,1,NJ
AD HOSPITAL EAST                        ,475587037,3531639,P,O,1,TX
AD HOSPITAL EAST                        ,900853527,3531639,P,O,1,TX
ADA MUNICIPAL HOSPITAL                  ,411654122,567684,N,O,1,MN
ADAIR COUNTY MEMORIAL HOSPITAL          ,426037639,513290,P,O,1,IA
ADAIR MEMORIAL HOSP                     ,0,195532,N,O,1,KY
ADAMS COUNTY MEMORIAL HOSPITAL          ,351470257,488217,P,O,1,IN
ADAMS COUNTY REGIONAL MED CTR           ,316402534,346734,P,O,1,OH
ADCARE HOSP OF WORCESTER                ,42053042,1937363,P,O,1,RI
"ADDICTION RECOVERY, INC.                ",521262742,2716400,N,O,1,MD
ADDICTION TREATMENT CENTER OF LONGMONT  ,260021509,2350995,N,O,1,CO
ADDICTION TREATMENT SERVICES            ,382032908,1762489,N,O,1,MI
ADDICTIVE DISEASE MED CONSUL            ,391498501,5414747,N,O,1,WI
ADDISON COMMUNITY HOSPTIAL              ,381485340,350848,N,O,1,MI
ADDISON GILBERT HOSPITAL                ,42121317,88663,P,O,1,MA
ADENA REGIONAL MEDICAL CENTER           ,314379443,550972,P,O,1,OH
ADIRONDACK MEDICAL CENTER               ,141731786,839011,P,O,1,NY
ADIRONDACK REGIONAL HOSP                ,146002283,432176,N,O,1,NY
ADMINISTRACION DE SERVICI               ,660433853,2571141,P,O,1,PR
ADOLESCENT TX CTR OF WINNEBAGO          ,410910520,2531825,P,O,1,MN
ADOLESCENT TX CTR OF WINNEBAGO          ,454165628,5858939,P,O,1,MN
ADV CARDIOVASCULAR SOLUTIONS            ,474160033,6156195,N,O,1,OK
ADVANCE CARDIOLOGY CENTER               ,660542952,2210452,P,O,1,PR
ADVANCE CARE HOSPITAL OF OKLAHOMA CITY  ,710816634,2729560,N,O,1,OK
ADVANCED CARE HOSP OF SO NM             ,272805509,2984632,N,O,1,NM
ADVANCED CARE HOSPITAL OF WHITE COUNTY  ,208459270,2776065,P,O,1,AR
ADVANCED HEALTHCARE SYSTEM              ,43236426,2007453,P,O,1,MA
ADVANCED SPECIALTY HOSPITAL OF TOLEDO   ,202137120,3038948,P,O,1,OH
ADVANCED SPECIALTY HOSPITAL OF TOLEDO   ,208286960,3038948,P,O,1,OH
ADVANCED SURGICAL HOSPITAL              ,264093335,3170448,P,O,1,PA
ADVENTIST BOLINGBROOK HOSPITAL          ,651219504,2786247,P,O,1,IL
ADVENTIST HEALTH SYS SUNBELT            ,364257550,1859708,N,O,1,IL
ADVENTIST HINSDALE HOSPITAL             ,362276984,667477,P,O,1,IL
ADVENTIST LA GRANGE MEMORIAL HOSPITAL   ,371762682,153700,P,O,1,IL
ADVENTIST MEDICAL CENTER                ,930429015,52783,P,O,1,OR
ADVENTIST MEDICAL CENTER HANFORD        ,940535360,376550,P,O,1,CA
ADVENTIST MEDICAL CENTER- SELMA         ,770509133,671173,P,O,1,CA
ADVENTIST MEDICAL CENTER- SELMA         ,940535360,671173,P,O,1,CA
ADVENTIST MEDICAL CTR REEDLEY           ,941529883,2703366,P,O,1,CA
ADVENTIST MEDICAL CTR REEDLEY           ,453220509,2703366,P,O,1,CA
ADVOCATE BROMENN MEDICAL CTR            ,362169147,258071,P,O,1,IL
ADVOCATE CHRIST MEDICAL CENTER          ,362169147,220961,P,O,1,IL
ADVOCATE CONDELL MEDICAL CENTER         ,262525968,167656,P,O,1,IL
ADVOCATE EUREKA HOSPITAL                ,362169147,275910,P,O,1,IL
ADVOCATE GOOD SAMARITAN HOSPITAL        ,362169147,722510,P,O,1,IL
ADVOCATE GOOD SHEPHERD HOSPITAL         ,362169147,192371,P,O,1,IL
ADVOCATE ILLINOIS MASONIC MED CT        ,363196629,731852,P,O,1,IL
ADVOCATE LUTHERAN GENERAL HOSPITAL      ,362169147,479049,P,O,1,IL
ADVOCATE MEDICAL GROUP                  ,362169147,2313202,P,O,1,IL
ADVOCATE SHERMAN HOSPITAL               ,362167920,512960,P,O,1,IL
ADVOCATE SOUTH SUBURBAN HOSP            ,362169147,590133,P,O,1,IL
ADVOCATE TRINITY HOSPITAL               ,362169147,1759529,P,O,1,IL
AEHN GERMANTOWN CHS                     ,231396794,3095090,N,O,1,PA
AESKULAP HOSPITAL                       ,760538570,2161904,N,O,1,TX
AFFILIATED HOSP CTR                     ,0,498763,N,O,1,MA
AFFINITY MEDICAL CENTER                 ,202871473,606213,P,O,1,OH
AFO TYNDALL AFB FL                      ,593310324,825278,N,O,1,FL
AFRICAN AMERICAN FAMILY SRVCS           ,411303326,2078842,N,O,1,MN
AGAPE HEALTH SYSTEMS                    ,472761220,5779148,N,O,1,MD
AGAWAM NURSING LLC                      ,820552840,2293376,N,O,1,MA
AGUADILLA MEDICAL SERVICE               ,660465240,2193522,P,O,1,PR
AHMC ANAHEIM REGIONAL MEDICAL CENTER    ,900454894,552915,P,O,1,CA
AHS HOSP                                ,521958352,225754,N,O,1,NJ
AHS HOSP                                ,221487256,225754,N,O,1,NJ
AIKEN PROFESSIONAL ASSOCIATION          ,273493136,3230489,P,O,1,SC
AIKEN REGIONAL MED CENTERS              ,232791808,418057,P,O,1,SC
AKRON CITY HOSPITAL                     ,310714755,3390982,N,O,1,OH
AKRON GENERAL MEDICAL CTR               ,340714478,196197,P,O,1,OH
ALAMANCE COUNTY HOSPITAL                ,560672458,13055,N,O,1,NC
ALAMANCE REGIONAL MED CTR               ,560529994,14498,P,O,1,NC
ALAMEDA HOSPITAL                        ,943302014,316724,P,O,1,CA
ALAMO HEIGHTS SURGICAL HOSPITAL GROUP   ,900974203,3407812,P,O,1,TX
ALASKA NATIVE MEDICAL CENTER            ,920162721,842078,P,O,1,AK
ALASKA REGIONAL MEDICAL CENTER          ,611000033,79318,P,O,1,GA
ALBANY AREA HOSPITAL                    ,410721642,622207,N,O,1,MN
ALBANY GENERAL HOSPITAL                 ,930110095,690271,P,O,1,OR
ALBANY MEDICAL CENTER HOSPITAL          ,141330310,286746,P,O,1,NY
ALBANY MEDICAL CENTER HOSPITAL          ,141338307,286746,P,O,1,NY
ALBANY MEDICAL CTR SOUTH CLINCAL        ,141813299,269665,P,O,1,NY
ALBANY MEDICAL CTR SOUTH CLINCAL        ,141338307,269665,P,O,1,NY
ALBANY MEMORIAL HOSPITAL                ,141338457,681129,P,O,1,NY
ALBEMARLE HOSPITAL                      ,562210760,5249409,N,O,1,NC
ALBERT EINSTEIN MEDICAL CENTER          ,231396794,262697,P,O,1,PA
ALBERT EINSTEIN MEDICAL CENTER          ,131740114,2725870,N,O,1,NY
ALBERT M KELLER MEM HOSP                ,430784449,1609560,N,O,1,MO
ALBERTINA KERR CENTERS                  ,930386780,2730863,N,O,1,OR
ALBUQUERQUE HOSPITAL                    ,850196933,1474471,N,O,1,NM
ALBUQUERQUE REG MED CTR                 ,850327237,2236712,N,O,1,NM
ALBUQUERQUE REG MED CTR                 ,43655179,2236712,N,O,1,NM
ALBUQUERQUEINDIAN HOSPITAL              ,850246856,2915069,N,O,1,NM
AL-CARE/OP PROG                         ,141660472,1454719,N,O,1,NY
ALCOHOL & DRUG DEPENDENCY SERV          ,341371559,2205697,N,O,1,OH
ALCOHOLISM TREATMENT SVCS               ,521341890,1622169,N,O,1,MD
ALEGENT HEALTH BERGAN MERCY HLTH SYSTEM ,470484764,3705160,N,O,1,NE
ALEGENT HEALTH MERCY                    ,420782518,5927050,N,O,1,NE
ALEXANDER COMMUNITY HOSPITAL            ,560521757,408065,N,O,1,NC
ALEXANDRA MARINE & GENERAL HOSP         ,0,320770,N,O,1,ON
ALEXANDRIA HOSPITAL                     ,226854485,2100459,N,O,1,VA
ALEXANDRIA SOLUTIONS                    ,161761803,3263872,N,O,1,LA
ALEXIAN BROTHERS HOSP                   ,221515200,153416,N,O,1,NJ
ALEXIAN BROTHERS MEDICAL CENTER         ,362596381,235929,P,O,1,IL
ALFALFA COUNTY HOSP                     ,730998391,390020,N,O,1,OK
ALFRED I DUPONT HSP FOR CHILDREN        ,590634433,2106811,P,O,1,PA
ALGER-MARQUETTE CMHC                    ,381844244,919061,N,O,1,MI
ALHAMBRA HOSPITAL MEDICAL CENTER        ,954693289,367847,P,O,1,CA
ALICE HYDE MEDICAL CENTER               ,150346515,296706,P,O,1,NY
ALICE PECK DAY MEMORIAL HOSPITAL        ,20222791,250059,P,O,1,NH
ALISON ROMANOWSKI                       ,311351965,3818561,N,O,1,OH
ALL MANHATTAN MEDICAL CARE              ,463915970,4027882,N,O,1,NY
ALL SAINTS SPECIAL CARE HOSPIT          ,431725971,1865437,N,O,1,TX
ALLDREDGE ACADEMY                       ,911955538,2041748,N,O,1,WV
ALLEGAN GENERAL HOSPITAL                ,381359180,453867,P,O,1,MI
ALLEGHANY MEMORIAL HOSPITAL             ,560525657,181580,P,O,1,PA
ALLEGHANY UNIVERSITY HOSPITAL           ,232609240,1851802,N,O,1,PA
ALLEGHENY GENERAL HOSPITAL              ,251322626,165009,P,O,1,PA
ALLEGHENY GENERAL HOSPITAL              ,250969492,165009,P,O,1,PA
ALLEGHENY HEALTH CENTER                 ,250984595,2069634,N,O,1,PA
ALLEGHENY UNIVERSITY HSP                ,231352693,1793108,N,O,1,PA
ALLEGIANCE HEALTH                       ,382027689,573256,P,O,1,MI
ALLE-KISKI MEDICAL CTR                  ,251875178,6965,P,O,1,PA
ALLEN COUNTY HOSPITAL                   ,481301811,172769,P,O,1,KS
ALLEN COUNTY HOSPITAL                   ,611669227,172769,P,O,1,KS
ALLEN HOSPITAL                          ,420698265,23698,P,O,1,UT
ALLEN MEDICAL CENTER                    ,340864230,3692321,N,O,1,OH
ALLEN MEMORIAL HOSPITAL                 ,490698196,5488557,N,O,1,IA
ALLEN PARISH HOSPITAL                   ,720655439,508001,P,O,1,LA
ALLEN PAVILION - CPMC                   ,133957095,3348734,N,O,1,NY
ALLENDALE COUNTY HOSPITAL               ,576001334,407895,P,O,1,SC
ALLENTOWN STATE HOSPITAL                ,752870527,1359611,N,O,1,PA
ALLENTOWN STATE HOSPITAL                ,231352154,1359611,N,O,1,PA
ALLENTOWN STATE HOSPITAL                ,236003113,1359611,N,O,1,PA
ALLIANCE COMMUNITY HOSPITAL             ,340714581,591595,P,O,1,OH
ALLIANCE HEALTHCARE SYSTEM              ,640893154,1797987,P,O,1,MS
ALLIANCEHEALTH CLINTON                  ,731531028,114168,P,O,1,TX
ALLIANCEHEALTH CLINTON                  ,371659366,114168,P,O,1,OK
ALLIANCEHEALTH DEACONESS                ,202257411,711440,P,O,1,TX
ALLIANCEHEALTH DURANT                   ,581725656,688158,P,O,1,OK
ALLIANCEHEALTH MADILL                   ,731426051,583416,P,O,1,TX
ALLIANCEHEALTH MADILL                   ,383862800,583416,P,O,1,OK
ALLIANCEHEALTH MIDWEST                  ,731495968,506871,P,O,1,OK
ALLIANCEHEALTH PONCA CITY               ,204052936,542729,P,O,1,OK
ALLIANCEHEALTH PRYOR                    ,611670947,597066,P,O,1,OK
ALLIANCEHEALTH PRYOR                    ,730981133,597066,P,O,1,TX
ALLIANCEHEALTH SEMINOLE                 ,260685470,1802249,P,O,1,TX
ALLIANCEHEALTH SEMINOLE                 ,454164241,1802249,P,O,1,OK
ALLIANCEHEALTH WOODWARD                 ,621762418,51867,P,O,1,TX
ALLINA HEALTH SYSTEM - UBH              ,363261413,2635084,P,O,1,MN
ALPHA CENTER FOR TREATMENT              ,911849073,3261935,P,O,1,WA
ALPHA MEDICAL CLINIC                    ,261476556,3135321,N,O,1,CA
ALTA BATES SUMMIT MED CTR               ,941196176,340436,P,O,1,CA
ALTA BELLWOOD HOSPITALS                 ,954696782,642205,N,O,1,CA
ALTA HOSPITAL DISTRICT                  ,946002936,385618,N,O,1,CA
ALTA LOS ANGELES COMMUNITY HOSPITALS    ,954691839,2094059,N,O,1,CA
ALTA VIEW HOSPITAL                      ,942854057,368796,P,O,1,UT
ALTA VISTA REGIONAL HOSPITAL            ,742930034,1949424,P,O,1,TX
ALTERNATIVES FOR BETTER                 ,943306094,1910591,N,O,1,CA
ALTON MEMORIAL HOSPITAL                 ,370661172,271538,P,O,1,MO
ALTRU HEALTH SYSTEM                     ,450310462,561844,P,O,1,ND
ALTUS BAYTOWN HOSPITAL                  ,270744049,4578351,N,O,1,TX
ALVARADO HOSPITAL                       ,752902649,92838,P,O,1,CA
ALVARADO HOSPITAL                       ,205683387,92838,P,O,1,TX
ALVARADO HOSPITAL MED CTR SDRI          ,752902649,2632168,N,O,1,TX
ALVIN MEDICAL CENTER                    ,611261489,126464,N,O,1,TX
AMBULANCIA LOMAS HOSPITAL               ,742828337,2507016,N,O,1,TX
AMBULATORY CARE CLINIC                  ,576000722,1637618,N,O,1,SC
AMBULATORY SURGERY CENTER OF COOL SPRING,621809227,2652363,N,O,1,TN
AMC EMERGENCY CORP                      ,660480265,2214618,N,O,1,PR
AMEDISYS HOME HEALTH SERVICES           ,721225546,2286093,N,O,1,LA
AMEDISYS HOME HEALTH-AL                 ,721428475,2045604,P,O,1,LA
AMEDISYS NORTHWEST HOME HEALTH          ,582567724,2174955,N,O,1,LA
AMERICAN BIOLOGICS HOSPITAL             ,760398659,225890,N,O,1,TX
AMERICAN BIOLOGICS HOSPITAL             ,760538570,225890,N,O,1,TX
AMERICAN DAY TREATMENT CENTER           ,721376895,2075744,N,O,1,NJ
AMERICAN FORK HOSPITAL                  ,942854057,540340,P,O,1,UT
AMERICAN HEALTH SERVICES                ,861046124,2316497,N,O,1,AZ
AMERICAN MED ADM SUPPORT                ,742871426,2212903,N,O,1,TX
AMERICAN MEDICAL CARE CENTER            ,317562082,2085139,N,O,1,IN
AMERICAN RIVER HOSPITAL                 ,680144224,1669094,N,O,1,CA
AMERICAN THERAPEUTIC                    ,270038784,3012978,N,O,1,FL
AMERICAN TRANSITIONAL CARE HSP          ,760322331,904091,P,O,1,TX
AMERICAN TRANSITIONAL HOSP-PHOEN        ,943085083,1369998,N,O,1,TN
AMERICAS BILLING SOLUTION               ,475377597,6000436,N,O,1,AZ
AMERICAS HOSPITAL                       ,330816342,1922122,N,O,1,CA
AMERIPRO HEALTHCARE GROUP               ,205668970,3053499,N,O,1,TX
AMERY REGIONAL MEDICAL CENTER           ,390908320,68688,P,O,1,WI
AMESBURY HOSP                           ,46001067,200960,N,O,1,MA
AMHERST HOSPITAL                        ,272199824,3164218,N,O,1,OH
AMHERST HOSPITAL ASSOCIATION            ,340067060,740092,N,O,1,OH
AMI CIRCLE CITY HOSPITAL                ,952579817,1716552,N,O,1,CA
AMI DOCTORS HOSPITAL                    ,953962580,354150,P,O,1,NC
AMI HEIGHTS MEDICAL CENTER              ,741649730,635715,N,O,1,TX
AMI IRVINE MEDICAL CENTER               ,953878287,1720220,N,O,1,CA
AMI MEDICAL CENTER ORLANDO              ,591839560,102047,N,O,1,NC
AMI NACOGDOCHES MED CTR                 ,746197600,1683416,N,O,1,TX
AMI ST JOSEPH HOSPITAL                  ,953929010,1720440,N,O,1,NE
AMSTERDAM MEMORIAL HOSPITAL             ,141364467,618347,N,O,1,NY
ANACAPA HOSPITAL                        ,770274660,1785191,P,O,1,CA
ANAHEIM GLOBAL MEDICAL CENTER           ,550883859,333006,P,O,1,CA
ANAHEIM GLOBAL MEDICAL CENTER           ,155088,333006,P,O,1,CA
ANCILLA HEALTH CARE                     ,351843516,1839981,N,O,1,IN
ANDALUSIA REGIONAL HOSPITAL             ,621081822,4084,P,O,1,GA
ANDERSON COUNTY HOSPITAL                ,742849611,250062,P,O,1,KS
ANDERSON COUNTY MEMORIAL HOSP           ,756003631,1689868,N,O,1,TX
ANDERSON HOSPITAL                       ,370662561,94451,P,O,1,IL
ANDERSON REGIONAL MED CTR SOUTH         ,640362400,475804,P,O,1,MS
ANDERSON REGIONAL MEDICAL CENTER        ,640362400,297588,P,O,1,MS
ANDROSCOGGIN VALLEY HOSPITAL            ,20280367,524873,P,O,1,NH
ANGEL MEDICAL CENTER                    ,566000064,320781,P,O,1,NC
ANGELS CAMP FAMILY MEDICAL CTR          ,941415069,3557346,N,O,1,CA
ANGELS MEDICAL CENTER                   ,330990637,2344212,N,O,1,CA
ANGLETON DANBURY MEDICAL CENTER         ,741612400,627392,N,O,1,TX
ANIMAS SURGICAL HOSPITAL                ,161632441,2454693,P,O,1,OK
ANJUM BAQAI MD                          ,475310626,6032998,N,O,1,MA
ANMED HEALTH                            ,570359174,56739,P,O,1,SC
ANN & ROBERT H LURIE CHILDRENS HOSPITAL ,362170833,658319,P,O,1,IL
ANNA JAQUES HOSPITAL                    ,42104338,270033,P,O,1,MA
ANNAPOLIS HOSPITAL WESTLAND CNTR        ,382837961,275904,P,O,1,MI
ANNE ARUNDEL HEALTHCARE ENTERPRISES     ,521646304,2438670,N,O,1,MD
ANNE ARUNDEL MEDICAL CENTER             ,521169362,66613,P,O,1,MD
ANNE BATES LEACH EYE HOSP               ,592154129,119423,P,O,1,GA
ANNIE JEFFREY MEM CNTY HLTH CTR         ,476000710,519546,P,O,1,NE
ANNIE PENN MEMORIAL HOSPITAL            ,581588823,151689,P,O,1,NC
ANSON GENERAL HOSPITAL                  ,756003659,594760,P,O,1,TX
ANTELOPE MEMORIAL HOSPITAL              ,470393176,667745,P,O,1,NE
ANTELOPE VALLEY HEALTHCARE DISTRICT     ,956005217,715434,P,O,1,CA
APOLLO HOSPITAL SYSTEMS                 ,461178237,3551353,P,O,1,TX
APPALACHIAN REGIONAL HEALTHCARE         ,550756776,2126978,N,O,1,WV
APPLETON MUNICIPAL HOSPITAL-MRHC        ,410966278,95314,P,O,1,MN
APPLING HEALTHCARE SYSTEM               ,586002659,175533,P,O,1,GA
ARACOMA MEDICAL FOUNDATION              ,550628897,525040,N,O,1,WV
ARBOUR ELDER SERVICES INC               ,232868192,3263496,P,O,1,MA
ARBOUR HEALTH SYSTEMS/HRI HOSP          ,232238950,1424308,N,O,1,MA
ARBOUR HRI HOSPITAL                     ,232238958,1940092,P,O,1,MA
ARBOUR SENIORCARE                       ,232868192,2216319,P,O,1,MA
ARBOUR SENIORCARE                       ,232686192,2216319,P,O,1,MA
ARBOUR-CHOATE COUNSELING                ,43227706,1461062,N,O,1,MA
ARBUCKLE MEMORIAL HOSPITAL              ,736082829,395426,P,O,1,OK
ARCADIA HOSP                            ,720778582,58642,P,O,1,LA
ARCHER CO HOSP                          ,751087166,370276,N,O,1,TX
ARCHWAYS                                ,592341993,1983991,N,O,1,FL
ARDMORE ADVENTIST HOSPITAL              ,730736718,5079,N,O,1,OK
AREA AGENT ON AGING/WEST CENTR          ,710521904,1415247,N,O,1,AR
ARIA HEALTH                             ,230596940,1254546,P,O,1,PA
ARIA HEALTH BUCKS COUNTY CAMPUS         ,230596940,2014249,P,O,1,PA
ARIA HEALTH TORRESDALE CAMPUS           ,230596940,698136,P,O,1,PA
ARIA HEALTH TORRESDALE CAMPUS           ,251631348,698136,P,O,1,PA
ARISE AUSTIN MEDICAL CENTER             ,462728964,3655528,P,O,1,TX
ARIZONA CHILDRENS HOSPIT                ,0,728076,N,O,1,AZ
ARIZONA ORTHOPEDIC SURGICAL HOSPITAL    ,752936470,2390968,P,O,1,AZ
ARIZONA REGIONAL MEDICAL CENTER         ,431990260,2968800,N,O,1,AZ
ARIZONA SPINE & JOINT HOSPITAL          ,364399746,2264440,P,O,1,AZ
ARIZONA STATE HOSPITAL                  ,866004791,2823046,N,O,1,AZ
ARIZONA SURGICAL HOSPITAL               ,860971686,41733,N,O,1,AZ
ARIZONA SURGICAL HOSPITAL               ,860322573,41733,N,O,1,AZ
ARKANSAS CHILDRENS HOSPITAL             ,710236857,858025,P,O,1,AR
ARKANSAS HEART HOSPITAL                 ,561933245,1450579,P,O,1,AR
ARKANSAS METHODIST MEDICAL CENTER       ,710230218,29094,P,O,1,AR
ARKANSAS SURGICAL HOSPITAL              ,710858717,2565552,P,O,1,AR
ARKANSAS VALLEY REGIONAL MED CTR        ,841465990,196019,P,O,1,CO
ARLINGTON COUNSELING                    ,751756042,1799617,N,O,1,TX
ARLINGTON MEMORIAL HOSPITAL             ,750972805,3155594,N,O,1,TX
ARLINGTON MUNICIPAL HOSP                ,690412001,1670111,N,O,1,MN
ARMS ACRES INC                          ,61011594,3161773,P,O,1,NY
ARMSTRONG & SPALLUMCHEEN HOSP           ,0,348976,N,O,1,BC
ARMSTRONG COUNTY MEM HOSPITAL           ,250965237,345255,P,O,1,PA
ARNOLD PALMER HOSPITAL FOR CHILDREN     ,591726273,1792068,P,O,1,FL
ARNOLD PALMER HSPTL PDIATRC REHAB SRVC  ,591726273,3694179,P,O,1,FL
ARNOLD PALMER HSPTL SLEEP CLINIC        ,591726273,3694180,N,O,1,FL
ARNOT OGDEN MEDICAL CENTER              ,160743905,506847,P,O,1,NY
AROOSTOOK MEDICAL CENTER TAMC           ,10372148,545823,P,O,1,ME
ARROWHEAD CENTER                        ,410956874,3255341,P,O,1,MN
ARROWHEAD REGIONAL MEDICAL CTR          ,956002748,200001,N,O,1,CA
ARROYO GRANDE COMMUNITY HOSPITAL        ,510509286,304244,P,O,1,CA
ARROYO GRANDE HOSP #72029               ,954261995,1721531,N,O,1,CA
ARSENAL SURGICAL ALLIANCE               ,812885847,6150244,N,O,1,TX
ARTESIA GENERAL HOSPITAL                ,742851819,521204,P,O,1,NM
ASANTE ASHLAND COMMUNITY HOSPITAL       ,931213059,294711,P,O,1,OR
ASANTE ROGUE REGIONAL MEDICAL CENTER    ,930223960,552278,P,O,1,OR
ASANTE THREE RIVERS MEDICAL CENTER      ,571181758,1191183,P,O,1,OR
ASANTE THREE RIVERS MEDICAL CENTER      ,930668563,1191183,P,O,1,OR
ASBURY PARK HEALTH DEPARTMENT           ,216000035,1541965,N,O,1,NJ
ASCENSION HOSPITAL                      ,720638558,982791,N,O,1,LA
ASHBY BEHAVIORAL HEALTH                 ,461772944,4599449,N,O,1,NJ
ASHE MEMORIAL HOSPITAL                  ,560603900,38609,P,O,1,NC
ASHEVILLE SPECIALTY HOSPITAL            ,562250464,2363657,N,O,1,NC
ASHFORD PRESBYTERIAN COM HSP I          ,660177824,483777,P,O,1,PR
ASHLAND HEALTH CENTER                   ,486008752,411848,P,O,1,KS
ASHLEY COUNTY MEDICAL CENTER            ,710236870,1892672,P,O,1,AR
ASHLEY MEDICAL CENTER                   ,450255914,94025,P,O,1,ND
ASHLEY REGIONAL MEDICAL CENTER          ,621762532,574645,P,O,1,UT
ASHTABULA COUNTY MED CENTER             ,340726081,747561,P,O,1,OH
ASHTON MEMORIAL HOSPITAL                ,820225230,429496,N,O,1,ID
